 EM Railgun example                                                      
                    ls-dyna smp d R13 R13.1.1_27_8731a0 date 07/28/2023
EM Global Energy data
  time,        Ext.JH,     Ext.Mag,    Ext.Cap,    Mesh.JH,    Mesh.Mag,   Air.Mag,    TotEm,      Mech.Pla,   Mech.kin,  
  0.1000000E-04  0.5676477E+10  0.1135295E+12  0.1012498E+18  0.1227432E+16  0.3195822E+10  0.1566048E+11  0.1024774E+18  0.0000000E+00  0.0000000E+00
  0.2000000E-04  0.9082907E+11  0.4168067E+12  0.1012494E+18  0.3643902E+16  0.1556085E+11  0.5749510E+11  0.1048939E+18  0.2180041E+07  0.6649961E+06
  0.3000000E-04  0.1827781E+12  0.8625700E+12  0.1012487E+18  0.6341935E+16  0.3731257E+11  0.1189845E+12  0.1075918E+18  0.2754301E+08  0.1986990E+08
  0.4000000E-04  0.2950584E+12  0.1412413E+13  0.1012477E+18  0.8523548E+16  0.6516171E+11  0.1953106E+12  0.1097733E+18  0.1011181E+09  0.1633669E+09
  0.5000000E-04  0.4217103E+12  0.2036267E+13  0.1012466E+18  0.1060673E+17  0.9868902E+11  0.2815781E+12  0.1118561E+18  0.2230297E+09  0.7149681E+09
  0.6000000E-04  0.5580111E+12  0.2710521E+13  0.1012452E+18  0.1244922E+17  0.1367418E+12  0.3748150E+12  0.1136982E+18  0.3928119E+09  0.2153310E+10
  0.7000000E-04  0.7006153E+12  0.3428139E+13  0.1012436E+18  0.1253430E+17  0.1703751E+12  0.4858280E+12  0.1137827E+18  0.5941099E+09  0.5156998E+10
  0.8000000E-04  0.8468433E+12  0.4149542E+13  0.1012419E+18  0.1276674E+17  0.2074674E+12  0.5880636E+12  0.1140144E+18  0.6639246E+09  0.1139079E+11
  0.9000000E-04  0.9923970E+12  0.4875024E+13  0.1012400E+18  0.1322584E+17  0.2464465E+12  0.6908773E+12  0.1144726E+18  0.7818928E+09  0.2371420E+11
  0.1000000E-03  0.1149193E+13  0.5756183E+13  0.1012379E+18  0.2233883E+17  0.3194334E+12  0.8847343E+12  0.1235848E+18  0.9009333E+09  0.4436200E+11
  0.1100000E-03  0.1305374E+13  0.6456367E+13  0.1012357E+18  0.2017462E+17  0.3892765E+12  0.9923536E+12  0.1214194E+18  0.1811502E+10  0.7884404E+11
  0.1200000E-03  0.1441661E+13  0.7141462E+13  0.1012333E+18  0.1944676E+17  0.4448602E+12  0.1097654E+13  0.1206902E+18  0.2081290E+10  0.1258518E+12
  0.1300000E-03  0.1745936E+13  0.9666074E+13  0.1012307E+18  0.3887516E+17  0.5178012E+12  0.1760929E+13  0.1401196E+18  0.2282024E+10  0.1789306E+12
  0.1400000E-03  0.2041222E+13  0.1020074E+14  0.1012279E+18  0.3122094E+17  0.5908223E+12  0.1858332E+13  0.1324635E+18  0.7688152E+10  0.3174295E+12
  0.1500000E-03  0.2141075E+13  0.1070254E+14  0.1012250E+18  0.2715390E+17  0.6433888E+12  0.1949749E+13  0.1283943E+18  0.7955291E+10  0.6173355E+12
  0.1600000E-03  0.2370077E+13  0.1279706E+14  0.1012219E+18  0.7111214E+17  0.9519568E+12  0.3133284E+13  0.1723533E+18  0.7871171E+10  0.1037972E+13
  0.1700000E-03  0.2586606E+13  0.1302863E+14  0.1012186E+18  0.5785203E+17  0.1139867E+13  0.3189982E+13  0.1590906E+18  0.4221331E+11  0.2009039E+13
  0.1800000E-03  0.2630662E+13  0.1326054E+14  0.1012154E+18  0.5026903E+17  0.1251097E+13  0.3246763E+13  0.1515048E+18  0.3812966E+11  0.3910801E+13
  0.1900000E-03  0.2590015E+13  0.1327387E+14  0.1012121E+18  0.1283708E+18  0.1673400E+13  0.5362154E+13  0.2296059E+18  0.3599214E+11  0.6331358E+13
  0.2000000E-03  0.2595972E+13  0.1332239E+14  0.1012088E+18  0.1021561E+18  0.1912629E+13  0.5381754E+13  0.2033882E+18  0.1323502E+12  0.1093988E+14
  0.2100000E-03  0.2610325E+13  0.1342471E+14  0.1012055E+18  0.8730473E+17  0.2056025E+13  0.5423089E+13  0.1885338E+18  0.1117618E+12  0.1901688E+14
  0.2200000E-03  0.2038401E+13  0.8652638E+13  0.1012026E+18  0.1040608E+18  0.1993138E+13  0.6659439E+13  0.2052827E+18  0.9987284E+11  0.2875680E+14
  0.2300000E-03  0.1676544E+13  0.8856398E+13  0.1011999E+18  0.8813812E+17  0.2009485E+13  0.6816261E+13  0.1893574E+18  0.8729456E+11  0.3906129E+14
  0.2400000E-03  0.1716078E+13  0.9083447E+13  0.1011972E+18  0.7743784E+17  0.2055316E+13  0.6991008E+13  0.1786549E+18  0.7004644E+11  0.4922819E+14
  0.2500000E-03  0.1309687E+13  0.5412456E+13  0.1011948E+18  0.7882696E+17  0.1791576E+13  0.7616398E+13  0.1800379E+18  0.6287150E+11  0.5972765E+14
  0.2600000E-03  0.1041471E+13  0.5600218E+13  0.1011927E+18  0.6597467E+17  0.1740821E+13  0.7880616E+13  0.1671836E+18  0.3354088E+11  0.6770629E+14
  0.2700000E-03  0.1077220E+13  0.5806045E+13  0.1011905E+18  0.5914557E+17  0.1753097E+13  0.8170255E+13  0.1603529E+18  0.2921004E+11  0.7242379E+14
