 EM Railgun example                                                      
                    ls-dyna smp d R13 R13.1.1_27_8731a0 date 07/28/2023
EM Rogowsky Coil data
     time,       VolCurrent     ddtVolCurrent  
  0.1000000E-04  0.7861967E+08  0.0000000E+00
  0.2000000E-04  0.1506413E+09  0.0000000E+00
  0.3000000E-04  0.2167075E+09  0.0000000E+00
  0.4000000E-04  0.2769964E+09  0.0000000E+00
  0.5000000E-04  0.3324095E+09  0.0000000E+00
  0.6000000E-04  0.3834062E+09  0.0000000E+00
  0.7000000E-04  0.4345306E+09  0.0000000E+00
  0.8000000E-04  0.4776198E+09  0.0000000E+00
  0.9000000E-04  0.5171955E+09  0.0000000E+00
  0.1000000E-03  0.5934555E+09  0.0000000E+00
  0.1100000E-03  0.6235384E+09  0.0000000E+00
  0.1200000E-03  0.6511757E+09  0.0000000E+00
  0.1300000E-03  0.7366502E+09  0.0000000E+00
  0.1400000E-03  0.7540444E+09  0.0000000E+00
  0.1500000E-03  0.7708184E+09  0.0000000E+00
  0.1600000E-03  0.8309961E+09  0.0000000E+00
  0.1700000E-03  0.8357203E+09  0.0000000E+00
  0.1800000E-03  0.8416575E+09  0.0000000E+00
  0.1900000E-03  0.7090396E+09  0.0000000E+00
  0.2000000E-03  0.7174206E+09  0.0000000E+00
  0.2100000E-03  0.7268017E+09  0.0000000E+00
  0.2200000E-03  0.5443688E+09  0.0000000E+00
  0.2300000E-03  0.5553894E+09  0.0000000E+00
  0.2400000E-03  0.5669485E+09  0.0000000E+00
