 EM Railgun example                                                      
                    ls-dyna smp d R13 R13.1.1_27_8731a0 date 07/28/2023
EM Circuit data
          time,       Voltage,        Charge,       Current,       ResistD,       ResistJ,        Induct,       Mutual1,       Mutual2,        Mutual3
  0.50000000E-05  0.58681831E+09  0.59999988E+09  0.46170813E+08  0.98180661E-02  0.67142118E-02  0.68970939E-05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.10000000E-04  0.56424981E+09  0.59999954E+09  0.90334702E+08  0.98180661E-02  0.14534731E-01  0.68970939E-05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.15000000E-04  0.54266208E+09  0.59999899E+09  0.13258630E+09  0.98180661E-02  0.16733667E-01  0.68970939E-05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.20000000E-04  0.52200990E+09  0.59999822E+09  0.17299514E+09  0.98200216E-02  0.17188363E-01  0.68996558E-05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.25000000E-04  0.50225736E+09  0.59999726E+09  0.21169193E+09  0.98200216E-02  0.17031170E-01  0.68996558E-05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.30000000E-04  0.48334148E+09  0.59999611E+09  0.24875770E+09  0.98200216E-02  0.16618655E-01  0.68996558E-05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.35000000E-04  0.46523687E+09  0.59999478E+09  0.28434187E+09  0.98401263E-02  0.16007678E-01  0.69271553E-05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.40000000E-04  0.44784318E+09  0.59999327E+09  0.31840654E+09  0.98401263E-02  0.15364519E-01  0.69271553E-05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.45000000E-04  0.43119202E+09  0.59999160E+09  0.35105943E+09  0.98401263E-02  0.14773788E-01  0.69271553E-05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.50000000E-04  0.41528549E+09  0.59998976E+09  0.38308505E+09  0.98328510E-02  0.14238761E-01  0.70293003E-05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.55000000E-04  0.39963347E+09  0.59998777E+09  0.41319427E+09  0.98328510E-02  0.13881442E-01  0.70293003E-05  0.00000000E+00  0.00000000E+00  0.00000000E+00
