 EM Railgun example                                                      
                    ls-dyna smp d R13 R13.1.1_27_8731a0 date 07/28/2023
EM Part data
  time,        LorFor-x,   LorFor-y,   LorFor-z,   JHEnergy,   MagEnergy,  KinEnergy,  PlasEnergy, LorTor-x,   LorTor-y,   LorTor-z,   SurFor-x,   SurFor-y,   SurFor-z,   SurTor-x,   SurTor-y,   SurTor-z,  
  0.1000000E-04  0.1639701E+10  0.2987726E+10  0.5854574E+09  0.2280073E+16  0.6389390E+10  0.0000000E+00  0.0000000E+00  0.2496979E+10 -0.3747429E+10  0.3968024E+11  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  0.2000000E-04  0.5647099E+10  0.1032341E+11  0.2225678E+10  0.6652874E+16  0.2966751E+11  0.3366344E+07  0.1103747E+08  0.6843462E+10 -0.1222287E+11  0.1379465E+12  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  0.3000000E-04  0.1106623E+11  0.1873796E+11  0.4371710E+10  0.1143778E+17  0.6780824E+11  0.1005844E+09  0.1394162E+09  0.7781213E+10 -0.2079032E+11  0.2515946E+12  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  0.4000000E-04  0.2088739E+11  0.2823463E+11  0.3397720E+10  0.1423842E+17  0.1098442E+12  0.8268886E+09  0.5112594E+09  0.1609027E+11  0.7796170E+10  0.3072578E+12  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  0.5000000E-04  0.3092294E+11  0.3637975E+11  0.2271939E+10  0.1707366E+17  0.1563160E+12  0.4180577E+10  0.1050562E+10  0.3301605E+11  0.5036819E+11  0.3490096E+12  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  0.6000000E-04  0.4108495E+11  0.4273874E+11  0.1669224E+10  0.1960487E+17  0.2056997E+12  0.1510203E+11  0.1812745E+10  0.5323749E+11  0.9488264E+11  0.3757056E+12  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  0.7000000E-04  0.3497155E+11  0.3431484E+11  0.4945015E+10  0.2491491E+17  0.2571861E+12  0.4168724E+11  0.2727720E+10  0.1116343E+12 -0.1001230E+11  0.1659096E+12  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  0.8000000E-04  0.3945921E+11  0.3450228E+11  0.3480631E+10  0.2371305E+17  0.3205313E+12  0.8398404E+11  0.3125111E+10  0.9226096E+11 -0.1529250E+11  0.1631825E+12  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  0.9000000E-04  0.4751535E+11  0.3408035E+11  0.2928805E+10  0.2411518E+17  0.3731137E+12  0.1394876E+12  0.3812968E+10  0.7935166E+11 -0.2365510E+11  0.1655981E+12  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  0.1000000E-03  0.1106513E+12  0.4194582E+11 -0.1981138E+10  0.4126406E+17  0.5174933E+12  0.2223280E+12  0.4583735E+10  0.7806886E+11  0.4660967E+11  0.1614602E+12  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  0.1100000E-03  0.1270235E+12  0.3789737E+11 -0.3214474E+10  0.3607999E+17  0.6185745E+12  0.4205594E+12  0.1697216E+11  0.8054914E+11  0.6353481E+11  0.1641396E+12  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  0.1200000E-03  0.1373831E+12  0.3398871E+11 -0.3989618E+10  0.3379452E+17  0.6884606E+12  0.8377946E+12  0.1741450E+11  0.8978242E+11  0.7390586E+11  0.1467267E+12  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  0.1300000E-03  0.4990938E+12  0.4464651E+11 -0.4633154E+10  0.1190528E+18  0.1219071E+13  0.1470134E+13  0.1895221E+11 -0.1208983E+12  0.1509382E+12  0.5210083E+12  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  0.1400000E-03  0.4836476E+12  0.3986584E+11 -0.4204189E+10  0.9693305E+17  0.1502457E+13  0.3656926E+13  0.1459139E+12 -0.1179156E+12  0.1372803E+12  0.4943947E+12  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  0.1500000E-03  0.4717481E+12  0.3582817E+11 -0.2697987E+10  0.8500389E+17  0.1658510E+13  0.9093963E+13  0.1332929E+12 -0.9666180E+11  0.1181849E+12  0.4515617E+12  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  0.1600000E-03  0.8940706E+12 -0.1547715E+11  0.1863674E+09  0.1915626E+18  0.2397782E+13  0.1670891E+14  0.1314580E+12  0.6705838E+11  0.3287355E+11 -0.6983013E+11  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  0.1700000E-03  0.8391008E+12 -0.1537834E+11  0.2518504E+09  0.1547380E+18  0.2720934E+13  0.3104909E+14  0.4626706E+12  0.5956131E+11  0.3024277E+11 -0.8550009E+11  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  0.1800000E-03  0.7756027E+12 -0.1472303E+11 -0.3693655E+09  0.1329228E+18  0.2839963E+13  0.5640452E+14  0.3811607E+12  0.4803942E+11  0.3545640E+11 -0.9671932E+11  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  0.1900000E-03  0.6430383E+12 -0.1708433E+11 -0.2617208E+10  0.1126135E+18  0.2842220E+13  0.8691039E+14  0.3377994E+12  0.7842214E+11  0.5653625E+11 -0.1222316E+12  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  0.2000000E-03  0.5891640E+12 -0.1674526E+11 -0.2304688E+10  0.9968230E+17  0.2792756E+13  0.1192100E+15  0.2803145E+12  0.8363517E+11  0.4947054E+11 -0.1186263E+12  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  0.2100000E-03  0.5553792E+12 -0.1632458E+11 -0.1979229E+10  0.8990437E+17  0.2733293E+13  0.1515086E+15  0.2271197E+12  0.8809510E+11  0.4375429E+11 -0.1135100E+12  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
