 EM Railgun example                                                      
                    ls-dyna smp d R13 R13.1.1_27_8731a0 date 07/28/2023
EM Iteration time
      time      It. Time    Accumulated
  0.1000E-04  0.000000E+00  0.000000E+00
  0.2000E-04  0.303940E+02  0.303940E+02
  0.3000E-04  0.374300E+01  0.341370E+02
  0.4000E-04  0.388900E+01  0.380260E+02
  0.5000E-04  0.301960E+02  0.682220E+02
  0.6000E-04  0.413100E+01  0.723530E+02
  0.7000E-04  0.453800E+01  0.768910E+02
  0.8000E-04  0.332830E+02  0.110174E+03
  0.9000E-04  0.402501E+01  0.114199E+03
  0.1000E-03  0.391400E+01  0.118113E+03
  0.1100E-03  0.296730E+02  0.147786E+03
  0.1200E-03  0.384601E+01  0.151632E+03
  0.1300E-03  0.383200E+01  0.155464E+03
  0.1400E-03  0.307110E+02  0.186175E+03
  0.1500E-03  0.417799E+01  0.190353E+03
  0.1600E-03  0.406300E+01  0.194416E+03
  0.1700E-03  0.315020E+02  0.225918E+03
  0.1800E-03  0.437299E+01  0.230291E+03
  0.1900E-03  0.439801E+01  0.234689E+03
  0.2000E-03  0.338420E+02  0.268531E+03
  0.2100E-03  0.378500E+01  0.272316E+03
  0.2200E-03  0.389398E+01  0.276210E+03
  0.2300E-03  0.153015E+00  0.276363E+03
  0.2400E-03  0.409851E-01  0.276404E+03
  0.2500E-03  0.390015E-01  0.276443E+03
  0.2600E-03  0.130005E+00  0.276573E+03
  0.2700E-03  0.429993E-01  0.276616E+03
  0.2800E-03  0.400085E-01  0.276656E+03
  0.2900E-03  0.135986E+00  0.276792E+03
  0.3000E-03  0.469971E-01  0.276839E+03
  0.3100E-03  0.380249E-01  0.276877E+03
  0.3200E-03  0.132996E+00  0.277010E+03
  0.3300E-03  0.419922E-01  0.277052E+03
  0.3400E-03  0.490112E-01  0.277101E+03
  0.3500E-03  0.136993E+00  0.277238E+03
  0.3600E-03  0.409851E-01  0.277279E+03
  0.3700E-03  0.400085E-01  0.277319E+03
  0.3800E-03  0.135010E+00  0.277454E+03
  0.3900E-03  0.439758E-01  0.277498E+03
  0.4000E-03  0.410156E-01  0.277539E+03
  0.4100E-03  0.140991E+00  0.277680E+03
  0.4200E-03  0.410156E-01  0.277721E+03
  0.4300E-03  0.409851E-01  0.277762E+03
  0.4400E-03  0.128998E+00  0.277891E+03
  0.4500E-03  0.400085E-01  0.277931E+03
  0.4600E-03  0.390015E-01  0.277970E+03
  0.4700E-03  0.132996E+00  0.278103E+03
  0.4800E-03  0.379944E-01  0.278141E+03
  0.4900E-03  0.420227E-01  0.278183E+03
  0.5000E-03  0.131989E+00  0.278315E+03
  0.5100E-03  0.390015E-01  0.278354E+03
  0.5200E-03  0.400085E-01  0.278394E+03
  0.5300E-03  0.129974E+00  0.278524E+03
  0.5400E-03  0.380249E-01  0.278562E+03
  0.5500E-03  0.379944E-01  0.278600E+03
  0.5600E-03  0.130981E+00  0.278731E+03
  0.5700E-03  0.410156E-01  0.278772E+03
  0.5800E-03  0.409851E-01  0.278813E+03
  0.5900E-03  0.140015E+00  0.278953E+03
  0.6000E-03  0.440063E-01  0.278997E+03
  0.6100E-03  0.390015E-01  0.279036E+03
  0.6200E-03  0.142975E+00  0.279179E+03
  0.6300E-03  0.429993E-01  0.279222E+03
  0.6400E-03  0.430298E-01  0.279265E+03
  0.6500E-03  0.138977E+00  0.279404E+03
  0.6600E-03  0.440063E-01  0.279448E+03
  0.6700E-03  0.450134E-01  0.279493E+03
  0.6800E-03  0.134003E+00  0.279627E+03
  0.6900E-03  0.429993E-01  0.279670E+03
  0.7000E-03  0.439758E-01  0.279714E+03
  0.7100E-03  0.131012E+00  0.279845E+03
  0.7200E-03  0.400085E-01  0.279885E+03
  0.7300E-03  0.369873E-01  0.279922E+03
  0.7400E-03  0.131012E+00  0.280053E+03
  0.7500E-03  0.429993E-01  0.280096E+03
  0.7600E-03  0.440063E-01  0.280140E+03
  0.7700E-03  0.135986E+00  0.280276E+03
  0.7800E-03  0.440063E-01  0.280320E+03
  0.7900E-03  0.429993E-01  0.280363E+03
  0.8000E-03  0.147980E+00  0.280511E+03
  0.8100E-03  0.450134E-01  0.280556E+03
  0.8200E-03  0.400085E-01  0.280596E+03
  0.8300E-03  0.130005E+00  0.280726E+03
  0.8400E-03  0.379944E-01  0.280764E+03
  0.8500E-03  0.390015E-01  0.280803E+03
  0.8600E-03  0.130005E+00  0.280933E+03
  0.8700E-03  0.409851E-01  0.280974E+03
  0.8800E-03  0.379944E-01  0.281012E+03
  0.8900E-03  0.135010E+00  0.281147E+03
  0.9000E-03  0.400085E-01  0.281187E+03
  0.9100E-03  0.409851E-01  0.281228E+03
  0.9200E-03  0.130005E+00  0.281358E+03
  0.9300E-03  0.409851E-01  0.281399E+03
  0.9400E-03  0.410156E-01  0.281440E+03
  0.9500E-03  0.151001E+00  0.281591E+03
  0.9600E-03  0.419922E-01  0.281633E+03
  0.9700E-03  0.410156E-01  0.281674E+03
  0.9800E-03  0.134003E+00  0.281808E+03
  0.9900E-03  0.429993E-01  0.281851E+03
