 EM Railgun example                                                      
                    ls-dyna smp d R13 R13.1.1_27_8731a0 date 07/28/2023
EM Circuit data
          time,       Voltage,        Charge,       Current,       ResistD,       ResistJ,        Induct,       Mutual1,       Mutual2,        Mutual3
  0.10000000E-04  0.71704577E+09  0.74999944E+09  0.11231381E+09  0.98180661E-02  0.58309986E-02  0.68970939E-05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.20000000E-04  0.66340372E+09  0.74999780E+09  0.21520189E+09  0.98180661E-02  0.12386095E-01  0.68970939E-05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.30000000E-04  0.61426240E+09  0.74999518E+09  0.30958215E+09  0.98180661E-02  0.13703445E-01  0.68970939E-05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.40000000E-04  0.56922654E+09  0.74999165E+09  0.39658582E+09  0.98277659E-02  0.13418271E-01  0.69442343E-05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.50000000E-04  0.52767430E+09  0.74998728E+09  0.47640803E+09  0.98277659E-02  0.12802272E-01  0.69442343E-05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.60000000E-04  0.48955079E+09  0.74998215E+09  0.54979776E+09  0.98277659E-02  0.12172836E-01  0.69442343E-05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.70000000E-04  0.45511836E+09  0.74997627E+09  0.62549998E+09  0.10248128E-01  0.12715862E-01  0.75049876E-05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.80000000E-04  0.41900207E+09  0.74996971E+09  0.68636847E+09  0.10248128E-01  0.13390258E-01  0.75049876E-05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.90000000E-04  0.38996096E+09  0.74996257E+09  0.74267787E+09  0.10248128E-01  0.11781037E-01  0.75049876E-05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.10000000E-03  0.36517896E+09  0.74995444E+09  0.88215860E+09  0.12085408E-01  0.74060587E-02  0.95119806E-05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.11000000E-03  0.29882262E+09  0.74994543E+09  0.92078223E+09  0.12085408E-01  0.86501696E-02  0.95119806E-05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.12000000E-03  0.28044140E+09  0.74993604E+09  0.95637731E+09  0.12085408E-01  0.74526208E-02  0.95119806E-05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.13000000E-03  0.26929313E+09  0.74992581E+09  0.10911507E+10  0.17397944E-01  0.10097890E-01  0.15501030E-04  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.14000000E-03  0.20558433E+09  0.74991482E+09  0.11058333E+10  0.17397944E-01  0.19443329E-01  0.15501030E-04  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.15000000E-03  0.19863422E+09  0.74990369E+09  0.11212792E+10  0.17397944E-01  0.14837275E-01  0.15501030E-04  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.16000000E-03  0.20770813E+09  0.74989363E+09  0.88927599E+09  0.35550194E-01  0.20718234E-01  0.36596598E-04  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.17000000E-03  0.31540427E+09  0.74988466E+09  0.90626753E+09  0.35550194E-01  0.54973351E-01  0.36596598E-04  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.18000000E-03  0.30750734E+09  0.74987550E+09  0.92416444E+09  0.35550194E-01  0.42953727E-01  0.36596598E-04  0.00000000E+00  0.00000000E+00  0.00000000E+00
