 EM Railgun example                                                      
                    ls-dyna smp d R13 R13.1.1_27_8731a0 date 07/28/2023
EM Part data
  time,        LorFor-x,   LorFor-y,   LorFor-z,   JHEnergy,   MagEnergy,  KinEnergy,  PlasEnergy, LorTor-x,   LorTor-y,   LorTor-z,   SurFor-x,   SurFor-y,   SurFor-z,   SurTor-x,   SurTor-y,   SurTor-z,  
  0.1000000E-04  0.2024323E+10  0.3688551E+10  0.7227869E+09  0.2814905E+16  0.7888136E+10  0.0000000E+00  0.0000000E+00  0.3082690E+10 -0.4626456E+10  0.4898796E+11  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  0.2000000E-04  0.6972364E+10  0.1274426E+11  0.2750095E+10  0.8214535E+16  0.3663058E+11  0.5130711E+07  0.1682349E+08  0.8452547E+10 -0.1512179E+11  0.1702910E+12  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  0.3000000E-04  0.1366566E+11  0.2312672E+11  0.5412523E+10  0.1412850E+17  0.8374376E+11  0.1533019E+09  0.2124794E+09  0.9621761E+10 -0.2587701E+11  0.3104959E+12  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  0.4000000E-04  0.2623491E+11  0.2865895E+11  0.9293369E+10  0.1768655E+17  0.1349194E+12  0.1260198E+10  0.7788232E+09  0.1238693E+12 -0.3372460E+11  0.3727609E+12  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  0.5000000E-04  0.3832941E+11  0.3271437E+11  0.1256642E+11  0.2132590E+17  0.1916044E+12  0.6448093E+10  0.1612587E+10  0.2243108E+12 -0.4154013E+11  0.3999511E+12  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  0.6000000E-04  0.5005565E+11  0.3503596E+11  0.1498864E+11  0.2456054E+17  0.2519364E+12  0.2346334E+11  0.2787945E+10  0.3019102E+12 -0.4927764E+11  0.4009785E+12  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  0.7000000E-04  0.5695460E+11  0.1117340E+11  0.1972893E+10  0.3029878E+17  0.3167784E+12  0.6374857E+11  0.4177497E+10  0.2205778E+12  0.4586534E+11  0.7200523E+09  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  0.8000000E-04  0.6378645E+11 -0.1404705E+10  0.2410072E+10  0.2813797E+17  0.3945086E+12  0.1389071E+12  0.5144886E+10  0.1465770E+12  0.8648593E+10 -0.1945320E+12  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  0.9000000E-04  0.7367620E+11 -0.1172581E+11  0.4919725E+10  0.2841214E+17  0.4589144E+12  0.2588911E+12  0.6333912E+10  0.1011479E+12 -0.3553845E+11 -0.3452660E+12  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  0.1000000E-03  0.2374843E+12  0.3575891E+11  0.1450625E+11  0.7365824E+17  0.6998330E+12  0.4400554E+12  0.7764107E+10  0.3680919E+12 -0.9705998E+11 -0.1773890E+12  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  0.1100000E-03  0.2392052E+12  0.2785483E+11  0.1138464E+11  0.6182649E+17  0.8821001E+12  0.1020193E+13  0.4127813E+11  0.3830929E+12 -0.6674458E+11 -0.2043635E+12  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  0.1200000E-03  0.2373460E+12  0.1850949E+11  0.8604239E+10  0.5558170E+17  0.9873370E+12  0.2383616E+13  0.4356265E+11  0.3914661E+12 -0.4021945E+11 -0.2610548E+12  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  0.1300000E-03  0.9193204E+12 -0.1836422E+11  0.4326919E+10  0.2431769E+18  0.2013747E+13  0.4326817E+13  0.4387144E+11 -0.1063276E+12  0.4591990E+11 -0.2508848E+11  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  0.1400000E-03  0.8875446E+12 -0.2505301E+11  0.5966770E+10  0.1929590E+18  0.2545284E+13  0.1114608E+14  0.5138147E+12 -0.7536002E+11  0.2552762E+11 -0.7430622E+11  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  0.1500000E-03  0.8500638E+12 -0.2805082E+11  0.7349826E+10  0.1614661E+18  0.2806723E+13  0.2860337E+14  0.4489933E+12 -0.4023860E+11 -0.1280643E+10 -0.1158234E+12  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  0.1600000E-03  0.7899799E+12 -0.6639872E+11  0.1366173E+11  0.1619493E+18  0.3107786E+13  0.5310020E+14  0.4090160E+12  0.1685179E+12 -0.1345186E+12 -0.6617597E+12  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
