 EM Railgun example                                                      
                    ls-dyna smp d R13 R13.1.1_27_8731a0 date 07/28/2023
EM Iteration time
      time      It. Time    Accumulated
  0.1000E-04  0.000000E+00  0.000000E+00
  0.2000E-04  0.295720E+02  0.295720E+02
  0.3000E-04  0.370700E+01  0.332790E+02
  0.4000E-04  0.381000E+01  0.370890E+02
  0.5000E-04  0.294570E+02  0.665460E+02
  0.6000E-04  0.396799E+01  0.705140E+02
  0.7000E-04  0.398100E+01  0.744950E+02
  0.8000E-04  0.292650E+02  0.103760E+03
  0.9000E-04  0.397900E+01  0.107739E+03
  0.1000E-03  0.393599E+01  0.111675E+03
  0.1100E-03  0.296440E+02  0.141319E+03
  0.1200E-03  0.430899E+01  0.145628E+03
  0.1300E-03  0.404201E+01  0.149670E+03
  0.1400E-03  0.306880E+02  0.180358E+03
  0.1500E-03  0.461299E+01  0.184971E+03
  0.1600E-03  0.426500E+01  0.189236E+03
  0.1700E-03  0.311280E+02  0.220364E+03
  0.1800E-03  0.421800E+01  0.224582E+03
  0.1900E-03  0.412799E+01  0.228710E+03
  0.2000E-03  0.151001E+00  0.228861E+03
  0.2100E-03  0.469971E-01  0.228908E+03
  0.2200E-03  0.449982E-01  0.228953E+03
  0.2300E-03  0.148010E+00  0.229101E+03
  0.2400E-03  0.489960E-01  0.229150E+03
  0.2500E-03  0.449982E-01  0.229195E+03
  0.2600E-03  0.136993E+00  0.229332E+03
  0.2700E-03  0.410156E-01  0.229373E+03
  0.2800E-03  0.449829E-01  0.229418E+03
  0.2900E-03  0.134003E+00  0.229552E+03
  0.3000E-03  0.410156E-01  0.229593E+03
  0.3100E-03  0.419922E-01  0.229635E+03
  0.3200E-03  0.135986E+00  0.229771E+03
  0.3300E-03  0.440063E-01  0.229815E+03
  0.3400E-03  0.400085E-01  0.229855E+03
  0.3500E-03  0.131012E+00  0.229986E+03
  0.3600E-03  0.419922E-01  0.230028E+03
  0.3700E-03  0.429993E-01  0.230071E+03
  0.3800E-03  0.143005E+00  0.230214E+03
  0.3900E-03  0.429993E-01  0.230257E+03
  0.4000E-03  0.429993E-01  0.230300E+03
  0.4100E-03  0.134979E+00  0.230435E+03
  0.4200E-03  0.410156E-01  0.230476E+03
  0.4300E-03  0.429993E-01  0.230519E+03
  0.4400E-03  0.140991E+00  0.230660E+03
  0.4500E-03  0.419922E-01  0.230702E+03
  0.4600E-03  0.420227E-01  0.230744E+03
  0.4700E-03  0.134979E+00  0.230879E+03
  0.4800E-03  0.410156E-01  0.230920E+03
  0.4900E-03  0.390015E-01  0.230959E+03
  0.5000E-03  0.135010E+00  0.231094E+03
  0.5100E-03  0.439758E-01  0.231138E+03
  0.5200E-03  0.460205E-01  0.231184E+03
  0.5300E-03  0.138977E+00  0.231323E+03
  0.5400E-03  0.440063E-01  0.231367E+03
  0.5500E-03  0.400085E-01  0.231407E+03
  0.5600E-03  0.136993E+00  0.231544E+03
  0.5700E-03  0.429993E-01  0.231587E+03
  0.5800E-03  0.459900E-01  0.231633E+03
  0.5900E-03  0.129028E+00  0.231762E+03
  0.6000E-03  0.419922E-01  0.231804E+03
  0.6100E-03  0.419922E-01  0.231846E+03
  0.6200E-03  0.135010E+00  0.231981E+03
  0.6300E-03  0.369873E-01  0.232018E+03
  0.6400E-03  0.400085E-01  0.232058E+03
  0.6500E-03  0.152985E+00  0.232211E+03
  0.6600E-03  0.420227E-01  0.232253E+03
  0.6700E-03  0.419922E-01  0.232295E+03
  0.6800E-03  0.143982E+00  0.232439E+03
  0.6900E-03  0.410156E-01  0.232480E+03
  0.7000E-03  0.390015E-01  0.232519E+03
  0.7100E-03  0.143005E+00  0.232662E+03
  0.7200E-03  0.419922E-01  0.232704E+03
  0.7300E-03  0.419922E-01  0.232746E+03
  0.7400E-03  0.141022E+00  0.232887E+03
  0.7500E-03  0.489807E-01  0.232936E+03
  0.7600E-03  0.469971E-01  0.232983E+03
  0.7700E-03  0.154999E+00  0.233138E+03
  0.7800E-03  0.440063E-01  0.233182E+03
  0.7900E-03  0.419922E-01  0.233224E+03
  0.8000E-03  0.139008E+00  0.233363E+03
  0.8100E-03  0.480042E-01  0.233411E+03
  0.8200E-03  0.440063E-01  0.233455E+03
  0.8300E-03  0.151001E+00  0.233606E+03
  0.8400E-03  0.429993E-01  0.233649E+03
  0.8500E-03  0.469971E-01  0.233696E+03
  0.8600E-03  0.132996E+00  0.233829E+03
  0.8700E-03  0.459900E-01  0.233875E+03
  0.8800E-03  0.469971E-01  0.233922E+03
  0.8900E-03  0.145020E+00  0.234067E+03
  0.9000E-03  0.459900E-01  0.234113E+03
  0.9100E-03  0.450134E-01  0.234158E+03
  0.9200E-03  0.134003E+00  0.234292E+03
  0.9300E-03  0.429993E-01  0.234335E+03
  0.9400E-03  0.439758E-01  0.234379E+03
  0.9500E-03  0.135010E+00  0.234514E+03
  0.9600E-03  0.410156E-01  0.234555E+03
  0.9700E-03  0.469971E-01  0.234602E+03
  0.9800E-03  0.138977E+00  0.234741E+03
  0.9900E-03  0.440063E-01  0.234785E+03
