 EM Railgun example                                                      
                    ls-dyna smp d R13 R13.1.1_27_8731a0 date 07/28/2023
EM Global Energy data
  time,        Ext.JH,     Ext.Mag,    Ext.Cap,    Mesh.JH,    Mesh.Mag,   Air.Mag,    TotEm,      Mech.Pla,   Mech.kin,  
  0.1000000E-04  0.1576799E+11  0.3153598E+12  0.2812496E+18  0.3409532E+16  0.8877284E+10  0.4350132E+11  0.2846595E+18  0.0000000E+00  0.0000000E+00
  0.2000000E-04  0.2523030E+12  0.1157796E+13  0.2812484E+18  0.1012569E+17  0.4323812E+11  0.1597086E+12  0.2913757E+18  0.1682349E+08  0.5130711E+07
  0.3000000E-04  0.5077171E+12  0.2396028E+13  0.2812464E+18  0.1764267E+17  0.1037464E+12  0.3305126E+12  0.2988924E+18  0.2124794E+09  0.1533019E+09
  0.4000000E-04  0.8202708E+12  0.3932008E+13  0.2812437E+18  0.2277234E+17  0.1770092E+12  0.5460957E+12  0.3040215E+18  0.7788232E+09  0.1260198E+10
  0.5000000E-04  0.1173904E+13  0.5674115E+13  0.2812405E+18  0.2798744E+17  0.2650598E+12  0.7880477E+12  0.3092358E+18  0.1612587E+10  0.6448093E+10
  0.6000000E-04  0.1554383E+13  0.7556939E+13  0.2812366E+18  0.3271254E+17  0.3658498E+12  0.1049543E+13  0.3139597E+18  0.2787945E+10  0.2346334E+11
  0.7000000E-04  0.1969310E+13  0.9781969E+13  0.2812322E+18  0.4280886E+17  0.4833071E+12  0.1468271E+13  0.3240548E+18  0.4177497E+10  0.6374857E+11
  0.8000000E-04  0.2397137E+13  0.1177896E+14  0.2812273E+18  0.4096611E+17  0.6219301E+12  0.1768019E+13  0.3222100E+18  0.5142322E+10  0.1373466E+12
  0.9000000E-04  0.2799147E+13  0.1379178E+14  0.2812219E+18  0.4171391E+17  0.7506283E+12  0.2070142E+13  0.3229553E+18  0.6383884E+10  0.2500531E+12
  0.1000000E-03  0.3521719E+13  0.1944132E+14  0.2812158E+18  0.8874530E+17  0.9966495E+12  0.3686589E+13  0.3699888E+18  0.7877070E+10  0.4137127E+12
  0.1100000E-03  0.4244030E+13  0.2117715E+14  0.2812091E+18  0.7544567E+17  0.1224213E+13  0.4015747E+13  0.3566854E+18  0.4105831E+11  0.9537378E+12
  0.1200000E-03  0.4573971E+13  0.2284245E+14  0.2812020E+18  0.6876281E+17  0.1388467E+13  0.4331533E+13  0.3499980E+18  0.4353017E+11  0.2254142E+13
  0.1300000E-03  0.5228043E+13  0.2907698E+14  0.2811944E+18  0.2627511E+18  0.2449403E+13  0.8895152E+13  0.5439912E+18  0.4421029E+11  0.4104282E+13
  0.1400000E-03  0.5886458E+13  0.2993114E+14  0.2811863E+18  0.2087094E+18  0.3072396E+13  0.9156453E+13  0.4899437E+18  0.4558846E+12  0.1014556E+14
  0.1500000E-03  0.6055523E+13  0.3086459E+14  0.2811780E+18  0.1773572E+18  0.3459667E+13  0.9442013E+13  0.4585850E+18  0.3854769E+12  0.2483197E+14
  0.1600000E-03  0.4770286E+13  0.2070044E+14  0.2811704E+18  0.2791539E+18  0.3773375E+13  0.1450185E+14  0.5603681E+18  0.3664590E+12  0.4474996E+14
  0.1700000E-03  0.4035714E+13  0.2144741E+14  0.2811635E+18  0.2317548E+18  0.4046880E+13  0.1502514E+14  0.5129629E+18  0.5203826E+12  0.7077826E+14
  0.1800000E-03  0.4178918E+13  0.2227076E+14  0.2811565E+18  0.1979118E+18  0.4312703E+13  0.1560195E+14  0.4791147E+18  0.4115514E+12  0.1038928E+15
