 EM Railgun example                                                      
                    ls-dyna smp d R13 R13.1.1_27_8731a0 date 07/28/2023
EM Circuit data
          time,       Voltage,        Charge,       Current,       ResistD,       ResistJ,        Induct,       Mutual1,       Mutual2,        Mutual3
  0.10000000E-04  0.71704577E+09  0.74999944E+09  0.11231381E+09  0.98180661E-02  0.58309986E-02  0.68970939E-05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.20000000E-04  0.66340372E+09  0.74999780E+09  0.21520189E+09  0.98180661E-02  0.12386095E-01  0.68970939E-05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.30000000E-04  0.61426240E+09  0.74999518E+09  0.30958215E+09  0.98180661E-02  0.13703445E-01  0.68970939E-05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.40000000E-04  0.56922654E+09  0.74999165E+09  0.39658582E+09  0.98277659E-02  0.13418271E-01  0.69442343E-05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.50000000E-04  0.52767430E+09  0.74998728E+09  0.47640803E+09  0.98277659E-02  0.12802272E-01  0.69442343E-05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.60000000E-04  0.48955079E+09  0.74998215E+09  0.54979776E+09  0.98277659E-02  0.12172836E-01  0.69442343E-05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.70000000E-04  0.45511856E+09  0.74997627E+09  0.62531481E+09  0.10256172E-01  0.12759620E-01  0.75049876E-05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.80000000E-04  0.41909062E+09  0.74996972E+09  0.68603654E+09  0.10256172E-01  0.13508731E-01  0.75049876E-05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.90000000E-04  0.39011953E+09  0.74996258E+09  0.74224702E+09  0.10256172E-01  0.11912103E-01  0.75049876E-05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.10000000E-03  0.36534295E+09  0.74995446E+09  0.88143183E+09  0.12093849E-01  0.73639717E-02  0.94794179E-05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.11000000E-03  0.29912293E+09  0.74994545E+09  0.91999708E+09  0.12093849E-01  0.85504802E-02  0.94794179E-05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.12000000E-03  0.28076826E+09  0.74993607E+09  0.95552348E+09  0.12093849E-01  0.73548217E-02  0.94794179E-05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.13000000E-03  0.26940961E+09  0.74992590E+09  0.10790276E+10  0.17208338E-01  0.95513977E-02  0.15246801E-04  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.14000000E-03  0.21100446E+09  0.74991503E+09  0.10945780E+10  0.17208338E-01  0.18014476E-01  0.15246801E-04  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.15000000E-03  0.20364145E+09  0.74990400E+09  0.11113564E+10  0.17208338E-01  0.13765618E-01  0.15246801E-04  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.16000000E-03  0.21098411E+09  0.74989389E+09  0.91200059E+09  0.33984548E-01  0.18645462E-01  0.34824023E-04  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.17000000E-03  0.30368144E+09  0.74988468E+09  0.92846499E+09  0.33984548E-01  0.49473985E-01  0.34824023E-04  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.18000000E-03  0.29601601E+09  0.74987531E+09  0.94583933E+09  0.33984548E-01  0.38717984E-01  0.34824023E-04  0.00000000E+00  0.00000000E+00  0.00000000E+00
