 EM Railgun example                                                      
                    ls-dyna smp d R13 R13.1.1_27_8731a0 date 07/28/2023
EM Global Energy data
  time,        Ext.JH,     Ext.Mag,    Ext.Cap,    Mesh.JH,    Mesh.Mag,   Air.Mag,    TotEm,      Mech.Pla,   Mech.kin,  
  0.1000000E-05  0.1576799E+11  0.3153598E+12  0.2812496E+18  0.3409532E+16  0.8877284E+10  0.4350132E+11  0.2846595E+18  0.0000000E+00  0.0000000E+00
  0.2000000E-05  0.2523030E+12  0.1157796E+13  0.2812484E+18  0.1012569E+17  0.4323812E+11  0.1597086E+12  0.2913757E+18  0.1682349E+08  0.5130711E+07
  0.3000000E-05  0.2523030E+12  0.1157796E+13  0.2812484E+18  0.1012569E+17  0.4323812E+11  0.1597086E+12  0.2913757E+18  0.1682349E+08  0.5130711E+07
  0.4000000E-05  0.2523030E+12  0.1157796E+13  0.2812484E+18  0.1012569E+17  0.4323812E+11  0.1597086E+12  0.2913757E+18  0.1682349E+08  0.5130711E+07
  0.5000000E-05  0.2523030E+12  0.1157796E+13  0.2812484E+18  0.1012569E+17  0.4323812E+11  0.1597086E+12  0.2913757E+18  0.1682349E+08  0.5130711E+07
  0.6000000E-05  0.2523030E+12  0.1157796E+13  0.2812484E+18  0.1012569E+17  0.4323812E+11  0.1597086E+12  0.2913757E+18  0.1682349E+08  0.5130711E+07
  0.7000000E-05  0.2523030E+12  0.1157796E+13  0.2812484E+18  0.1012569E+17  0.4323812E+11  0.1597086E+12  0.2913757E+18  0.1682349E+08  0.5130711E+07
  0.8000000E-05  0.2523030E+12  0.1157796E+13  0.2812484E+18  0.1012569E+17  0.4323812E+11  0.1597086E+12  0.2913757E+18  0.1682349E+08  0.5130711E+07
  0.9000000E-05  0.2523030E+12  0.1157796E+13  0.2812484E+18  0.1012569E+17  0.4323812E+11  0.1597086E+12  0.2913757E+18  0.1682349E+08  0.5130711E+07
  0.1000000E-04  0.2523030E+12  0.1157796E+13  0.2812484E+18  0.1012569E+17  0.4323812E+11  0.1597086E+12  0.2913757E+18  0.1682349E+08  0.5130711E+07
  0.1100000E-04  0.2523030E+12  0.1157796E+13  0.2812484E+18  0.1012569E+17  0.4323812E+11  0.1597086E+12  0.2913757E+18  0.1682349E+08  0.5130711E+07
  0.1200000E-04  0.5077171E+12  0.2396028E+13  0.2812464E+18  0.1764267E+17  0.1037464E+12  0.3305126E+12  0.2988924E+18  0.2124794E+09  0.1533019E+09
  0.1300000E-04  0.5077171E+12  0.2396028E+13  0.2812464E+18  0.1764267E+17  0.1037464E+12  0.3305126E+12  0.2988924E+18  0.2124794E+09  0.1533019E+09
  0.1400000E-04  0.5077171E+12  0.2396028E+13  0.2812464E+18  0.1764267E+17  0.1037464E+12  0.3305126E+12  0.2988924E+18  0.2124794E+09  0.1533019E+09
  0.1500000E-04  0.5077171E+12  0.2396028E+13  0.2812464E+18  0.1764267E+17  0.1037464E+12  0.3305126E+12  0.2988924E+18  0.2124794E+09  0.1533019E+09
  0.1600000E-04  0.5077171E+12  0.2396028E+13  0.2812464E+18  0.1764267E+17  0.1037464E+12  0.3305126E+12  0.2988924E+18  0.2124794E+09  0.1533019E+09
  0.1700000E-04  0.5077171E+12  0.2396028E+13  0.2812464E+18  0.1764267E+17  0.1037464E+12  0.3305126E+12  0.2988924E+18  0.2124794E+09  0.1533019E+09
  0.1800000E-04  0.5077171E+12  0.2396028E+13  0.2812464E+18  0.1764267E+17  0.1037464E+12  0.3305126E+12  0.2988924E+18  0.2124794E+09  0.1533019E+09
  0.1900000E-04  0.5077171E+12  0.2396028E+13  0.2812464E+18  0.1764267E+17  0.1037464E+12  0.3305126E+12  0.2988924E+18  0.2124794E+09  0.1533019E+09
  0.2000000E-04  0.5077171E+12  0.2396028E+13  0.2812464E+18  0.1764267E+17  0.1037464E+12  0.3305126E+12  0.2988924E+18  0.2124794E+09  0.1533019E+09
  0.2100000E-04  0.5077171E+12  0.2396028E+13  0.2812464E+18  0.1764267E+17  0.1037464E+12  0.3305126E+12  0.2988924E+18  0.2124794E+09  0.1533019E+09
  0.2200000E-04  0.8202708E+12  0.3932008E+13  0.2812437E+18  0.2277234E+17  0.1770092E+12  0.5460957E+12  0.3040215E+18  0.7788232E+09  0.1260198E+10
  0.2300000E-04  0.8202708E+12  0.3932008E+13  0.2812437E+18  0.2277234E+17  0.1770092E+12  0.5460957E+12  0.3040215E+18  0.7788232E+09  0.1260198E+10
  0.2400000E-04  0.8202708E+12  0.3932008E+13  0.2812437E+18  0.2277234E+17  0.1770092E+12  0.5460957E+12  0.3040215E+18  0.7788232E+09  0.1260198E+10
  0.2500000E-04  0.8202708E+12  0.3932008E+13  0.2812437E+18  0.2277234E+17  0.1770092E+12  0.5460957E+12  0.3040215E+18  0.7788232E+09  0.1260198E+10
  0.2600000E-04  0.8202708E+12  0.3932008E+13  0.2812437E+18  0.2277234E+17  0.1770092E+12  0.5460957E+12  0.3040215E+18  0.7788232E+09  0.1260198E+10
  0.2700000E-04  0.8202708E+12  0.3932008E+13  0.2812437E+18  0.2277234E+17  0.1770092E+12  0.5460957E+12  0.3040215E+18  0.7788232E+09  0.1260198E+10
  0.2800000E-04  0.8202708E+12  0.3932008E+13  0.2812437E+18  0.2277234E+17  0.1770092E+12  0.5460957E+12  0.3040215E+18  0.7788232E+09  0.1260198E+10
  0.2900000E-04  0.8202708E+12  0.3932008E+13  0.2812437E+18  0.2277234E+17  0.1770092E+12  0.5460957E+12  0.3040215E+18  0.7788232E+09  0.1260198E+10
  0.3000000E-04  0.8202708E+12  0.3932008E+13  0.2812437E+18  0.2277234E+17  0.1770092E+12  0.5460957E+12  0.3040215E+18  0.7788232E+09  0.1260198E+10
  0.3100000E-04  0.8202708E+12  0.3932008E+13  0.2812437E+18  0.2277234E+17  0.1770092E+12  0.5460957E+12  0.3040215E+18  0.7788232E+09  0.1260198E+10
  0.3200000E-04  0.1173904E+13  0.5674115E+13  0.2812405E+18  0.2798744E+17  0.2650598E+12  0.7880477E+12  0.3092358E+18  0.1612587E+10  0.6448093E+10
  0.3300000E-04  0.1173904E+13  0.5674115E+13  0.2812405E+18  0.2798744E+17  0.2650598E+12  0.7880477E+12  0.3092358E+18  0.1612587E+10  0.6448093E+10
  0.3400000E-04  0.1173904E+13  0.5674115E+13  0.2812405E+18  0.2798744E+17  0.2650598E+12  0.7880477E+12  0.3092358E+18  0.1612587E+10  0.6448093E+10
  0.3500000E-04  0.1173904E+13  0.5674115E+13  0.2812405E+18  0.2798744E+17  0.2650598E+12  0.7880477E+12  0.3092358E+18  0.1612587E+10  0.6448093E+10
  0.3600000E-04  0.1173904E+13  0.5674115E+13  0.2812405E+18  0.2798744E+17  0.2650598E+12  0.7880477E+12  0.3092358E+18  0.1612587E+10  0.6448093E+10
  0.3700000E-04  0.1173904E+13  0.5674115E+13  0.2812405E+18  0.2798744E+17  0.2650598E+12  0.7880477E+12  0.3092358E+18  0.1612587E+10  0.6448093E+10
  0.3800000E-04  0.1173904E+13  0.5674115E+13  0.2812405E+18  0.2798744E+17  0.2650598E+12  0.7880477E+12  0.3092358E+18  0.1612587E+10  0.6448093E+10
  0.3900000E-04  0.1173904E+13  0.5674115E+13  0.2812405E+18  0.2798744E+17  0.2650598E+12  0.7880477E+12  0.3092358E+18  0.1612587E+10  0.6448093E+10
  0.4000000E-04  0.1173904E+13  0.5674115E+13  0.2812405E+18  0.2798744E+17  0.2650598E+12  0.7880477E+12  0.3092358E+18  0.1612587E+10  0.6448093E+10
  0.4100000E-04  0.1173904E+13  0.5674115E+13  0.2812405E+18  0.2798744E+17  0.2650598E+12  0.7880477E+12  0.3092358E+18  0.1612587E+10  0.6448093E+10
  0.4200000E-04  0.1554383E+13  0.7556939E+13  0.2812366E+18  0.3271254E+17  0.3658498E+12  0.1049543E+13  0.3139597E+18  0.2787945E+10  0.2346334E+11
  0.4300000E-04  0.1554383E+13  0.7556939E+13  0.2812366E+18  0.3271254E+17  0.3658498E+12  0.1049543E+13  0.3139597E+18  0.2787945E+10  0.2346334E+11
  0.4400000E-04  0.1554383E+13  0.7556939E+13  0.2812366E+18  0.3271254E+17  0.3658498E+12  0.1049543E+13  0.3139597E+18  0.2787945E+10  0.2346334E+11
  0.4500000E-04  0.1554383E+13  0.7556939E+13  0.2812366E+18  0.3271254E+17  0.3658498E+12  0.1049543E+13  0.3139597E+18  0.2787945E+10  0.2346334E+11
  0.4600000E-04  0.1554383E+13  0.7556939E+13  0.2812366E+18  0.3271254E+17  0.3658498E+12  0.1049543E+13  0.3139597E+18  0.2787945E+10  0.2346334E+11
  0.4700000E-04  0.1554383E+13  0.7556939E+13  0.2812366E+18  0.3271254E+17  0.3658498E+12  0.1049543E+13  0.3139597E+18  0.2787945E+10  0.2346334E+11
  0.4800000E-04  0.1554383E+13  0.7556939E+13  0.2812366E+18  0.3271254E+17  0.3658498E+12  0.1049543E+13  0.3139597E+18  0.2787945E+10  0.2346334E+11
  0.4900000E-04  0.1554383E+13  0.7556939E+13  0.2812366E+18  0.3271254E+17  0.3658498E+12  0.1049543E+13  0.3139597E+18  0.2787945E+10  0.2346334E+11
  0.5000000E-04  0.1554383E+13  0.7556939E+13  0.2812366E+18  0.3271254E+17  0.3658498E+12  0.1049543E+13  0.3139597E+18  0.2787945E+10  0.2346334E+11
  0.5100000E-04  0.1554383E+13  0.7556939E+13  0.2812366E+18  0.3271254E+17  0.3658498E+12  0.1049543E+13  0.3139597E+18  0.2787945E+10  0.2346334E+11
