 EM Railgun example                                                      
                    ls-dyna smp d R13 R13.1.1_27_8731a0 date 07/28/2023
EM Part data
  time,        LorFor-x,   LorFor-y,   LorFor-z,   JHEnergy,   MagEnergy,  KinEnergy,  PlasEnergy, LorTor-x,   LorTor-y,   LorTor-z,   SurFor-x,   SurFor-y,   SurFor-z,   SurTor-x,   SurTor-y,   SurTor-z,  
  0.1000000E-04  0.2901577E+08  0.9555427E+08  0.2640368E+10  0.3004095E+15  0.5084490E+09  0.0000000E+00  0.0000000E+00  0.1421745E+10 -0.2411013E+12  0.9150738E+10  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  0.2000000E-04  0.1025726E+09  0.4317796E+09  0.1197458E+11  0.9645211E+15  0.3388728E+10  0.0000000E+00  0.0000000E+00  0.5677879E+10 -0.1093683E+13  0.4180164E+11  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  0.3000000E-04  0.1777083E+09  0.9946032E+09  0.2765990E+11  0.1772034E+16  0.1023792E+11  0.0000000E+00  0.0000000E+00  0.1151739E+11 -0.2526415E+13  0.9722338E+11  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  0.4000000E-04  0.1210359E+09  0.2159383E+10  0.4656840E+11  0.2558429E+16  0.2147848E+11  0.0000000E+00  0.0000000E+00  0.2157659E+11 -0.4280852E+13  0.2057161E+12  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  0.5000000E-04  0.1900558E+08  0.3616523E+10  0.6860572E+11  0.3344128E+16  0.3738312E+11  0.0000000E+00  0.0000000E+00  0.3113106E+11 -0.6319855E+13  0.3421071E+12  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  0.6000000E-04 -0.1493152E+09  0.5244292E+10  0.9241941E+11  0.4086428E+16  0.5783688E+11  0.0000000E+00  0.0000000E+00  0.3892998E+11 -0.8514636E+13  0.4956377E+12  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  0.7000000E-04 -0.6488755E+09  0.6409487E+10  0.1373489E+12  0.6280288E+16  0.8402223E+11  0.0000000E+00  0.0000000E+00  0.6016156E+11 -0.1261159E+14  0.6045159E+12  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  0.8000000E-04 -0.6820825E+09  0.6692477E+10  0.1621616E+12  0.6427116E+16  0.1149715E+12  0.0000000E+00  0.0000000E+00  0.6398077E+11 -0.1482709E+14  0.6177404E+12  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  0.9000000E-04 -0.9931759E+09  0.6715536E+10  0.1828506E+12  0.6646860E+16  0.1477796E+12  0.0000000E+00  0.0000000E+00  0.6448617E+11 -0.1667856E+14  0.6114837E+12  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  0.1000000E-03  0.1540340E+10  0.7285033E+10  0.1444070E+12  0.7829523E+16  0.1523639E+12  0.0000000E+00  0.0000000E+00  0.4001304E+11 -0.1215392E+14  0.6130685E+12  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  0.1100000E-03 -0.3478531E+09  0.7988184E+10  0.1828680E+12  0.6983878E+16  0.1755317E+12  0.0000000E+00  0.0000000E+00  0.4621619E+11 -0.1553845E+14  0.6783185E+12  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  0.1200000E-03 -0.2062131E+10  0.8622957E+10  0.2072126E+12  0.6709695E+16  0.2053183E+12  0.0000000E+00  0.0000000E+00  0.4991035E+11 -0.1772592E+14  0.7388930E+12  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
