 EM Railgun example                                                      
                    ls-dyna smp d R13 R13.1.1_27_8731a0 date 07/28/2023
EM Iteration time
      time      It. Time    Accumulated
  0.1000E-04  0.000000E+00  0.000000E+00
  0.2000E-04  0.302240E+02  0.302240E+02
  0.3000E-04  0.423500E+01  0.344590E+02
  0.4000E-04  0.432400E+01  0.387830E+02
  0.5000E-04  0.304370E+02  0.692200E+02
  0.6000E-04  0.448700E+01  0.737070E+02
  0.7000E-04  0.446799E+01  0.781750E+02
  0.8000E-04  0.303040E+02  0.108479E+03
  0.9000E-04  0.452400E+01  0.113003E+03
  0.1000E-03  0.448300E+01  0.117486E+03
  0.1100E-03  0.304710E+02  0.147957E+03
  0.1200E-03  0.469901E+01  0.152656E+03
  0.1300E-03  0.448601E+01  0.157142E+03
  0.1400E-03  0.309670E+02  0.188109E+03
  0.1500E-03  0.476399E+01  0.192873E+03
  0.1600E-03  0.456601E+01  0.197439E+03
  0.1700E-03  0.306460E+02  0.228085E+03
  0.1800E-03  0.453299E+01  0.232618E+03
  0.1900E-03  0.424500E+01  0.236863E+03
  0.2000E-03  0.147003E+00  0.237010E+03
  0.2100E-03  0.420227E-01  0.237052E+03
  0.2200E-03  0.390015E-01  0.237091E+03
  0.2300E-03  0.130981E+00  0.237222E+03
  0.2400E-03  0.440063E-01  0.237266E+03
  0.2500E-03  0.400085E-01  0.237306E+03
  0.2600E-03  0.143005E+00  0.237449E+03
  0.2700E-03  0.389709E-01  0.237488E+03
  0.2800E-03  0.440063E-01  0.237532E+03
  0.2900E-03  0.130005E+00  0.237662E+03
  0.3000E-03  0.450134E-01  0.237707E+03
  0.3100E-03  0.429993E-01  0.237750E+03
  0.3200E-03  0.134003E+00  0.237884E+03
  0.3300E-03  0.429993E-01  0.237927E+03
  0.3400E-03  0.429993E-01  0.237970E+03
  0.3500E-03  0.130981E+00  0.238101E+03
  0.3600E-03  0.440063E-01  0.238145E+03
  0.3700E-03  0.419922E-01  0.238187E+03
  0.3800E-03  0.132996E+00  0.238320E+03
  0.3900E-03  0.380249E-01  0.238358E+03
  0.4000E-03  0.449829E-01  0.238403E+03
  0.4100E-03  0.132019E+00  0.238535E+03
  0.4200E-03  0.390015E-01  0.238574E+03
  0.4300E-03  0.399780E-01  0.238614E+03
  0.4400E-03  0.132996E+00  0.238747E+03
  0.4500E-03  0.450134E-01  0.238792E+03
  0.4600E-03  0.440063E-01  0.238836E+03
  0.4700E-03  0.135986E+00  0.238972E+03
  0.4800E-03  0.429993E-01  0.239015E+03
  0.4900E-03  0.410156E-01  0.239056E+03
  0.5000E-03  0.130005E+00  0.239186E+03
  0.5100E-03  0.399780E-01  0.239226E+03
  0.5200E-03  0.450134E-01  0.239271E+03
  0.5300E-03  0.131989E+00  0.239403E+03
  0.5400E-03  0.429993E-01  0.239446E+03
  0.5500E-03  0.469971E-01  0.239493E+03
  0.5600E-03  0.131012E+00  0.239624E+03
  0.5700E-03  0.419922E-01  0.239666E+03
  0.5800E-03  0.410156E-01  0.239707E+03
  0.5900E-03  0.135986E+00  0.239843E+03
  0.6000E-03  0.429993E-01  0.239886E+03
  0.6100E-03  0.400085E-01  0.239926E+03
  0.6200E-03  0.143005E+00  0.240069E+03
  0.6300E-03  0.449829E-01  0.240114E+03
  0.6400E-03  0.410156E-01  0.240155E+03
  0.6500E-03  0.130981E+00  0.240286E+03
  0.6600E-03  0.440063E-01  0.240330E+03
  0.6700E-03  0.379944E-01  0.240368E+03
  0.6800E-03  0.134003E+00  0.240502E+03
  0.6900E-03  0.379944E-01  0.240540E+03
  0.7000E-03  0.410156E-01  0.240581E+03
  0.7100E-03  0.132996E+00  0.240714E+03
  0.7200E-03  0.400085E-01  0.240754E+03
  0.7300E-03  0.419922E-01  0.240796E+03
  0.7400E-03  0.131989E+00  0.240928E+03
  0.7500E-03  0.380249E-01  0.240966E+03
  0.7600E-03  0.399780E-01  0.241006E+03
  0.7700E-03  0.134003E+00  0.241140E+03
  0.7800E-03  0.419922E-01  0.241182E+03
  0.7900E-03  0.430298E-01  0.241225E+03
  0.8000E-03  0.130981E+00  0.241356E+03
  0.8100E-03  0.450134E-01  0.241401E+03
  0.8200E-03  0.369873E-01  0.241438E+03
  0.8300E-03  0.131989E+00  0.241570E+03
  0.8400E-03  0.370178E-01  0.241607E+03
  0.8500E-03  0.419922E-01  0.241649E+03
  0.8600E-03  0.135010E+00  0.241784E+03
  0.8700E-03  0.400085E-01  0.241824E+03
  0.8800E-03  0.409851E-01  0.241865E+03
  0.8900E-03  0.134003E+00  0.241999E+03
  0.9000E-03  0.409851E-01  0.242040E+03
  0.9100E-03  0.390015E-01  0.242079E+03
  0.9200E-03  0.136017E+00  0.242215E+03
  0.9300E-03  0.429993E-01  0.242258E+03
  0.9400E-03  0.409851E-01  0.242299E+03
  0.9500E-03  0.135010E+00  0.242434E+03
  0.9600E-03  0.410156E-01  0.242475E+03
  0.9700E-03  0.369873E-01  0.242512E+03
  0.9800E-03  0.143005E+00  0.242655E+03
  0.9900E-03  0.419922E-01  0.242697E+03
